State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Saxony,Allium angulosum,1,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Allium angulosum,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Thuringia,Allium angulosum,V,Sun to Half-shade,wet to moist,N-rich,NA,permeable to loamy,to -17 °C (to Climatic zone 7),50,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Allium carinatum,3,Sun,moist to dry,NA,NA,loamy,to -17 °C (to Climatic zone 7),40,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Berlin,Allium carinatum,1,Sun,moist to dry,NA,NA,loamy,to -17 °C (to Climatic zone 7),40,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Brandenburg,Allium carinatum,R,Sun,moist to dry,NA,NA,loamy,to -17 °C (to Climatic zone 7),40,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Allium carinatum,1,Sun,moist to dry,NA,NA,loamy,to -17 °C (to Climatic zone 7),40,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Rhineland-Palatinate,Allium carinatum,0,Sun,moist to dry,NA,NA,loamy,to -17 °C (to Climatic zone 7),40,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Saxony-Anhalt,Allium carinatum,3,Sun,moist to dry,NA,NA,loamy,to -17 °C (to Climatic zone 7),40,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Schleswig-Holstein,Allium carinatum,1,Sun,moist to dry,NA,NA,loamy,to -17 °C (to Climatic zone 7),40,rose,NA,NA,NA,NA,NA,yes,0-40 cm
Berlin,Allium lusitanicum,0,Sun to Half-shade,moist to dry,N-poor,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Hesse,Allium lusitanicum,R,Sun to Half-shade,moist to dry,N-poor,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Allium lusitanicum,1,Sun to Half-shade,moist to dry,N-poor,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Saxony,Allium lusitanicum,1,Sun to Half-shade,moist to dry,N-poor,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Allium lusitanicum,3,Sun to Half-shade,moist to dry,N-poor,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Allium lusitanicum,1,Sun to Half-shade,moist to dry,N-poor,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,rose,NA,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Allium rotundum,2,Sun to Half-shade,moist,N-rich,NA,NA,NA,60,pink,Bees (1 spp.),NA,NA,NA,yes,yes,40-60 cm
Berlin,Allium rotundum,R,Sun to Half-shade,moist,N-rich,NA,NA,NA,60,pink,Bees (1 spp.),NA,NA,NA,yes,yes,40-60 cm
Hesse,Allium rotundum,3,Sun to Half-shade,moist,N-rich,NA,NA,NA,60,pink,Bees (1 spp.),NA,NA,NA,yes,yes,40-60 cm
North Rhine-Westphalia,Allium rotundum,1,Sun to Half-shade,moist,N-rich,NA,NA,NA,60,pink,Bees (1 spp.),NA,NA,NA,yes,yes,40-60 cm
Rhineland-Palatinate,Allium rotundum,3,Sun to Half-shade,moist,N-rich,NA,NA,NA,60,pink,Bees (1 spp.),NA,NA,NA,yes,yes,40-60 cm
Saxony-Anhalt,Allium rotundum,2,Sun to Half-shade,moist,N-rich,NA,NA,NA,60,pink,Bees (1 spp.),NA,NA,NA,yes,yes,40-60 cm
Thuringia,Allium rotundum,2,Sun to Half-shade,moist,N-rich,NA,NA,NA,60,pink,Bees (1 spp.),NA,NA,NA,yes,yes,40-60 cm
Baden-Württemberg,Allium schoenoprasum,V,Sun to Half-shade,moist,N-rich,NA,permeable,to -28 °C (to Climatic zone 5),40,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,yes,yes,0-40 cm
Hamburg,Allium schoenoprasum,3,Sun to Half-shade,moist,N-rich,NA,permeable,to -28 °C (to Climatic zone 5),40,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,yes,yes,0-40 cm
Mecklenburg-Western Pomerania,Allium schoenoprasum,R,Sun to Half-shade,moist,N-rich,NA,permeable,to -28 °C (to Climatic zone 5),40,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,yes,yes,0-40 cm
Rhineland-Palatinate,Allium schoenoprasum,3,Sun to Half-shade,moist,N-rich,NA,permeable,to -28 °C (to Climatic zone 5),40,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,yes,yes,0-40 cm
Saarland,Allium schoenoprasum,V,Sun to Half-shade,moist,N-rich,NA,permeable,to -28 °C (to Climatic zone 5),40,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,yes,yes,0-40 cm
Schleswig-Holstein,Allium schoenoprasum,0,Sun to Half-shade,moist,N-rich,NA,permeable,to -28 °C (to Climatic zone 5),40,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,yes,yes,0-40 cm
Thuringia,Allium schoenoprasum,3,Sun to Half-shade,moist,N-rich,NA,permeable,to -28 °C (to Climatic zone 5),40,rose,Bees (1 spp.),Butterflies (1 spp.),NA,NA,yes,yes,0-40 cm
Baden-Württemberg,Allium sphaerocephalon,3,Sun,moist to dry,intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),60,pink,Bees (3 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",40-60 cm
Hesse,Allium sphaerocephalon,3,Sun,moist to dry,intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),60,pink,Bees (3 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",40-60 cm
North Rhine-Westphalia,Allium sphaerocephalon,0,Sun,moist to dry,intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),60,pink,Bees (3 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",40-60 cm
Rhineland-Palatinate,Allium sphaerocephalon,3,Sun,moist to dry,intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),60,pink,Bees (3 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",40-60 cm
Saxony-Anhalt,Allium sphaerocephalon,0,Sun,moist to dry,intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),60,pink,Bees (3 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",40-60 cm
Thuringia,Allium sphaerocephalon,0,Sun,moist to dry,intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),60,pink,Bees (3 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",40-60 cm
Hesse,Allium strictum,2,NA,dry,N-poor,NA,permeable,NA,40,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Allium strictum,0,NA,dry,N-poor,NA,permeable,NA,40,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Thuringia,Allium strictum,3,NA,dry,N-poor,NA,permeable,NA,40,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Allium suaveolens,3,Sun,wet to moist,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),60,rose,Bees,NA,NA,NA,NA,NA,40-60 cm
Bavaria,Allium suaveolens,3,Sun,wet to moist,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),60,rose,Bees,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Allium ursinum,R,Sun to Shade,wet to moist,N-rich,NA,loamy,NA,30,white,Bees (2 spp.),NA,NA,NA,NA,yes,0-40 cm
Saxony,Allium ursinum,V,Sun to Shade,wet to moist,N-rich,NA,loamy,NA,30,white,Bees (2 spp.),NA,NA,NA,NA,yes,0-40 cm
Hamburg,Allium vineale,V,Sun,moist to dry,N-rich,NA,NA,to -6 °C (to Climatic zone 9),100,violet,NA,Butterflies (1 spp.),NA,NA,yes,yes,60-100 cm
Schleswig-Holstein,Allium vineale,3,Sun,moist to dry,N-rich,NA,NA,to -6 °C (to Climatic zone 9),100,violet,NA,Butterflies (1 spp.),NA,NA,yes,yes,60-100 cm
Baden-Württemberg,Alnus alnobetula,V,Sun to Half-shade,wet,N-rich,acidic,loamy,NA,250,green,NA,Butterflies (4 spp.),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Althaea officinalis,2,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Berlin,Althaea officinalis,0,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Brandenburg,Althaea officinalis,1,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Bremen/Lower Saxony,Althaea officinalis,1,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Hamburg,Althaea officinalis,0,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Hesse,Althaea officinalis,3,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Mecklenburg-Western Pomerania,Althaea officinalis,3,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Rhineland-Palatinate,Althaea officinalis,2,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Saxony-Anhalt,Althaea officinalis,V,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Schleswig-Holstein,Althaea officinalis,2,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Thuringia,Althaea officinalis,3,Sun to Half-shade,wet to moist,N-rich,NA,NA,to -40 °C (to Climatic zone 3),200,rose,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,100+ cm
Baden-Württemberg,Alyssum alyssoides,3,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Berlin,Alyssum alyssoides,1,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Alyssum alyssoides,3,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Alyssum alyssoides,2,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Hamburg,Alyssum alyssoides,0,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Hesse,Alyssum alyssoides,V,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Alyssum alyssoides,3,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Alyssum alyssoides,2,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Saarland,Alyssum alyssoides,1,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony,Alyssum alyssoides,1,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Alyssum alyssoides,1,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Alyssum alyssoides,3,Sun,dry,N-poor,NA,permeable,NA,20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Alyssum montanum,1,Sun to Shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),20,yellow,Bees (7 spp.),NA,NA,NA,yes,yes,0-40 cm
Saxony,Alyssum montanum,1,Sun to Shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),20,yellow,Bees (7 spp.),NA,NA,NA,yes,yes,0-40 cm
Saxony-Anhalt,Alyssum montanum,3,Sun to Shade,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),20,yellow,Bees (7 spp.),NA,NA,NA,yes,yes,0-40 cm
Hamburg,Ambrosia artemisiifolia,R,Sun,dry,intermediate,NA,permeable,NA,180,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Bremen/Lower Saxony,Amelanchier ovalis,0,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),400,white,NA,Butterflies (5 spp.),Birds (4 spp.),4 spp. of mammals,NA,yes,100+ cm
Thuringia,Amelanchier ovalis,3,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -28 °C (to Climatic zone 5),400,white,NA,Butterflies (5 spp.),Birds (4 spp.),4 spp. of mammals,NA,yes,100+ cm
Berlin,Ammophila arenaria,0,Sun,moist to dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),100,yellow,NA,Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,60-100 cm
Hamburg,Ammophila arenaria,1,Sun,moist to dry,N-poor,NA,permeable,to -28 °C (to Climatic zone 5),100,yellow,NA,Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,60-100 cm
Hamburg,Anagallis arvensis,V,Sun,moist,N-rich,NA,loamy,NA,25,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Anagallis arvensis,V,Sun,moist,N-rich,NA,loamy,NA,25,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Anagallis arvensis,V,Sun,moist,N-rich,NA,loamy,NA,25,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Anagallis arvensis,3,Sun,moist,N-rich,NA,loamy,NA,25,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Anagallis tenella,1,Sun to Half-shade,wet,N-rich,NA,loamy,NA,12,rose,NA,NA,NA,NA,NA,"yes, small pots",0-40 cm
Bremen/Lower Saxony,Anagallis tenella,0,Sun to Half-shade,wet,N-rich,NA,loamy,NA,12,rose,NA,NA,NA,NA,NA,"yes, small pots",0-40 cm
Bavaria,Anarrhinum bellidifolium,0,Sun,moist,N-poor,NA,permeable to normal,NA,80,blue,Bees,NA,NA,NA,NA,NA,60-100 cm
Rhineland-Palatinate,Anarrhinum bellidifolium,2,Sun,moist,N-poor,NA,permeable to normal,NA,80,blue,Bees,NA,NA,NA,NA,NA,60-100 cm
Saarland,Anarrhinum bellidifolium,0,Sun,moist,N-poor,NA,permeable to normal,NA,80,blue,Bees,NA,NA,NA,NA,NA,60-100 cm
Hamburg,Anchusa arvensis,3,Sun,moist,N-rich,NA,permeable to normal,NA,40,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony,Anchusa arvensis,V,Sun,moist,N-rich,NA,permeable to normal,NA,40,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Anchusa arvensis,3,Sun,moist,N-rich,NA,permeable to normal,NA,40,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Anchusa officinalis,3,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Bavaria,Anchusa officinalis,3,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Bremen/Lower Saxony,Anchusa officinalis,V,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Hamburg,Anchusa officinalis,3,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
North Rhine-Westphalia,Anchusa officinalis,2,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Saxony,Anchusa officinalis,V,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Saxony-Anhalt,Anchusa officinalis,V,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Anchusa officinalis,3,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Thuringia,Anchusa officinalis,2,Sun,moist to dry,intermediate,NA,permeable,to -28 °C (to Climatic zone 5),100,violet,Bees (7 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,NA,60-100 cm
Baden-Württemberg,Andromeda polifolia,3,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Bavaria,Andromeda polifolia,3,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Berlin,Andromeda polifolia,1,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Brandenburg,Andromeda polifolia,2,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Bremen/Lower Saxony,Andromeda polifolia,3,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Hamburg,Andromeda polifolia,2,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Hesse,Andromeda polifolia,2,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Andromeda polifolia,2,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Rhineland-Palatinate,Andromeda polifolia,2,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Saarland,Andromeda polifolia,0,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Saxony,Andromeda polifolia,2,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Saxony-Anhalt,Andromeda polifolia,2,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Schleswig-Holstein,Andromeda polifolia,3,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Thuringia,Andromeda polifolia,1,Sun to Half-shade,moist,intermediate,NA,normal to humus,NA,40,white,NA,Butterflies (2 spp.),NA,NA,NA,yes,0-40 cm
Baden-Württemberg,Anemone narcissiflora,3,Sun,moist,N-rich,NA,loamy,to -40 °C (to Climatic zone 3),50,white,NA,NA,NA,NA,yes,yes,40-60 cm
Berlin,Anemone nemorosa,V,Sun to Half-shade,moist,N-rich,NA,permeable to loamy,to -28 °C (to Climatic zone 5),20,white,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Berlin,Anemone ranunculoides,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable,to -34 °C (to Climatic zone 4),20,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Brandenburg,Anemone ranunculoides,V,Sun to Half-shade,wet to moist,N-rich,NA,permeable,to -34 °C (to Climatic zone 4),20,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Hamburg,Anemone ranunculoides,2,Sun to Half-shade,wet to moist,N-rich,NA,permeable,to -34 °C (to Climatic zone 4),20,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Saxony,Anemone ranunculoides,3,Sun to Half-shade,wet to moist,N-rich,NA,permeable,to -34 °C (to Climatic zone 4),20,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Baden-Württemberg,Anemone sylvestris,2,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Bavaria,Anemone sylvestris,3,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Anemone sylvestris,2,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Anemone sylvestris,2,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Hesse,Anemone sylvestris,3,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Anemone sylvestris,0,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Rhineland-Palatinate,Anemone sylvestris,3,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Saarland,Anemone sylvestris,0,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Saxony,Anemone sylvestris,0,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Anemone sylvestris,3,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Anemone sylvestris,V,Sun to Half-shade,moist to dry,N-rich,NA,NA,to -34 °C (to Climatic zone 4),40,white,Bees,NA,NA,NA,NA,NA,0-40 cm
Saxony,Angelica archangelica,3,Sun,wet to moist,N-rich,NA,normal to humus,to -34 °C (to Climatic zone 4),200,green,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Saxony-Anhalt,Angelica archangelica,V,Sun,wet to moist,N-rich,NA,normal to humus,to -34 °C (to Climatic zone 4),200,green,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Berlin,Angelica palustris,0,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,white,Bees,NA,NA,NA,NA,NA,100+ cm
Brandenburg,Angelica palustris,1,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,white,Bees,NA,NA,NA,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Angelica palustris,1,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,white,Bees,NA,NA,NA,NA,NA,100+ cm
Saxony,Angelica palustris,0,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,white,Bees,NA,NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Angelica palustris,1,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,white,Bees,NA,NA,NA,NA,NA,100+ cm
Thuringia,Angelica palustris,1,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,white,Bees,NA,NA,NA,NA,NA,100+ cm
Berlin,Angelica sylvestris,V,Sun to Half-shade,wet to moist,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),160,white,Bees (9 spp.),Butterflies (13 spp.),NA,9 spp. of mammals,NA,NA,100+ cm
Brandenburg,Angelica sylvestris,V,Sun to Half-shade,wet to moist,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),160,white,Bees (9 spp.),Butterflies (13 spp.),NA,9 spp. of mammals,NA,NA,100+ cm
Hamburg,Angelica sylvestris,V,Sun to Half-shade,wet to moist,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),160,white,Bees (9 spp.),Butterflies (13 spp.),NA,9 spp. of mammals,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Angelica sylvestris,V,Sun to Half-shade,wet to moist,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),160,white,Bees (9 spp.),Butterflies (13 spp.),NA,9 spp. of mammals,NA,NA,100+ cm
Baden-Württemberg,Antennaria dioica,2,Sun,dry,N-poor,acidic,permeable,to -28 °C (to Climatic zone 5),15,white,Bees,NA,NA,NA,yes,yes,0-40 cm
Bavaria,Antennaria dioica,3,Sun,dry,N-poor,acidic,permeable,to -28 °C (to Climatic zone 5),15,white,Bees,NA,NA,NA,yes,yes,0-40 cm
Berlin,Antennaria dioica,0,Sun,dry,N-poor,acidic,permeable,to -28 °C (to Climatic zone 5),15,white,Bees,NA,NA,NA,yes,yes,0-40 cm
Brandenburg,Antennaria dioica,1,Sun,dry,N-poor,acidic,permeable,to -28 °C (to Climatic zone 5),15,white,Bees,NA,NA,NA,yes,yes,0-40 cm
Bremen/Lower Saxony,Antennaria dioica,2,Sun,dry,N-poor,acidic,permeable,to -28 °C (to Climatic zone 5),15,white,Bees,NA,NA,NA,yes,yes,0-40 cm
